State,POPULATION DENSITY,POPULATION,Abbreviation,Lockdown Date,RE-open date,Peak Daily Deaths Date,Length (in days) of lockdown,Time (in days) between Stay at home order and Peak Deaths,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,Population Mortality,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
Mississippi,63.2,"2,967,297",MS,"Friday, April 3, 2020","Monday, April 27, 2020","Thursday, May 7, 2020",24,34,19516,194537,,667,2665,151,,99,,13356,A,6/14/2020 0:00,6/13/2020 19:00,06/13 20:00,891,0.0300273279,2665,6/13/2020 19:00,213753,,,19216,28,168,0,214053,214053,168,214053,2,21,cb6a99c901319526c7a58e15025cb8ec081e582f,0,0,0,0,0,
Montana,6.8,"989,415",MT,"Saturday, March 28, 2020","Sunday, April 26, 2020","Thursday, April 23, 2020",29,26,601,58306,,6,77,,,,,510,C,6/14/2020 0:00,6/13/2020 19:00,06/13 20:00,19,0.0019203267,77,6/13/2020 19:00,,,,601,30,13,890,58907,58907,903,58907,1,0,0104ac3e67c43f4966e81ae9eb6fe0c3f2b42883,0,0,0,0,0,
North Carolina,196.1,"9,535,483",NC,"Monday, March 30, 2020","Friday, May 8, 2020","Tuesday, June 2, 2020",39,46,44119,583011,,798,,,,,,23653,A,6/14/2020 12:00,6/14/2020 7:00,06/14 08:00,1109,0.0116302446,,6/14/2020 7:00,,,,44119,37,1443,13997,627130,627130,15440,627130,5,0,413d324246f293fd75933b426331db59a383be47,0,0,0,0,0,
North Dakota,9.7,"672,591",ND,N/A,,"Tuesday, May 12, 2020",0,,3080,83800,,35,197,,,,,2658,F,6/14/2020 12:00,6/14/2020 7:00,06/14 08:00,77,0.0114482650,197,6/14/2020 7:00,131874,,,3080,38,22,985,86880,86880,1007,86880,0,0,0180d4816f0c3ba1fb741ff5f5c33db106e0a416,0,0,0,0,0,
Nebraska,23.8,"1,826,341",NE,N/A,,"Thursday, May 21, 2020",0,,16633,119482,,156,1070,,,,,9879,D,6/13/2020 20:00,6/13/2020 15:00,06/13 16:00,216,0.0118269261,1070,6/13/2020 15:00,,,,16633,31,120,1618,136115,136115,1738,136115,0,3,327e09ba80c4c78f9b20155ebdff1edb5f79c410,0,0,0,0,0,
New Hampshire,147,"1,316,470",NH,"Friday, March 27, 2020","Monday, May 4, 2020","Wednesday, May 13, 2020",38,47,5299,91122,,70,513,,152,,,3905,B,6/13/2020 9:00,6/13/2020 4:00,06/13 05:00,318,0.0241555068,513,6/13/2020 4:00,,,,5299,33,48,2417,96421,96421,2465,96421,3,10,0c11c9228b01cae974d3df6cfdab40e9335e80fd,0,0,0,0,0,
New Jersey,"1,195.50","8,791,894",NJ,"Saturday, March 21, 2020","Tuesday, June 30, 2020","Monday, April 20, 2020",72,30,166881,930735,,1391,18737,386,,285,,28714,A+,6/14/2020 13:00,6/14/2020 8:00,06/14 09:00,12625,0.1435981826,18737,6/14/2020 8:00,,,,166881,34,276,19125,1097616,1097616,19401,1097616,36,30,215fb146372598006b1829668e35dd97fd26af1f,0,0,0,0,0,
New Mexico,17,"2,059,179",NM,"Tuesday, March 24, 2020","Saturday, May 16, 2020","Friday, May 15, 2020",52,52,9621,249373,,172,1625,,,,,4072,C,6/13/2020 18:03,6/13/2020 13:03,06/13 14:03,431,0.0209306719,1625,6/13/2020 13:03,,,,9621,35,95,3615,258994,258994,3710,258994,5,0,73a7f452293363d9b8a0e0515d1e9de077b6211e,0,0,0,0,0,
Nevada,24.6,"2,700,551",NV,"Tuesday, March 31, 2020","Saturday, May 9, 2020","Monday, April 13, 2020",45,13,11173,199438,,332,,83,,69,,627,A+,6/14/2020 11:30,6/14/2020 6:30,06/14 07:30,464,0.0171816788,,6/14/2020 6:30,241729,,,11173,32,227,5504,210611,210611,5731,210611,1,0,cea2631e88fac12a2acc3bfb72aaaa5ba168223e,0,0,0,0,0,
New York,411.2,"19,378,102",NY,"Sunday, March 22, 2020","Friday, May 15, 2020","Sunday, April 12, 2020",54,21,383324,2551275,,1657,89995,499,,346,,68761,A,6/13/2020 0:00,6/12/2020 19:00,06/12 20:00,24551,0.1266945545,89995,6/12/2020 19:00,,,,383324,36,694,61665,2934599,2934599,62359,2934599,24,0,f807fc3c2646802e57ff5f1b55a02e67139c1bd2,0,0,0,0,0,
Ohio,282.3,"11,536,504",OH,"Monday, March 23, 2020","Monday, May 4, 2020","Saturday, May 23, 2020",68,43,41148,505072,,511,6895,216,1762,145,,,B,6/14/2020 14:00,6/14/2020 9:00,06/14 10:00,2557,0.0221644269,6895,6/14/2020 9:00,,,,38188,39,300,7022,546220,546220,7322,546220,3,31,7b77c138ff10158e4e894a048eb7ec0531cc5da5,0,0,0,0,0,
Oklahoma,54.7,"3,751,351",OK,N/A,,"Saturday, April 25, 2020",0,,8231,242587,,149,1116,67,,,,6578,A+,6/13/2020 8:00,6/13/2020 3:00,06/13 04:00,359,0.0095698856,1116,6/13/2020 3:00,252624,9456,242587,8073,40,158,4221,250818,250818,4379,250818,0,5,c212b92adf6a0dbd0b8b6cd4196070cf1c86604a,0,0,0,0,0,
Oregon,39.9,"3,831,074",OR,"Monday, March 23, 2020","Friday, May 15, 2020","Tuesday, April 14, 2020",53,22,5377,160812,,133,875,47,,15,,2396,A+,6/12/2020 3:01,6/11/2020 22:01,06/11 23:01,173,0.0045157050,875,6/11/2020 22:01,,,,5207,41,0,0,166189,166189,0,166189,0,0,0ff3e59979479783300bd44f7f1616b491c5eaa7,0,0,0,0,0,
Pennsylvania,283.9,"12,702,379",PA,"Wednesday, April 1, 2020","Friday, May 8, 2020","Tuesday, May 5, 2020",37,34,78798,504435,,852,,,,189,,58310,A+,6/14/2020 0:00,6/13/2020 19:00,06/13 20:00,6215,0.0489278426,,6/13/2020 19:00,,,,76567,42,336,7846,583233,583233,8182,583233,4,0,07ce701debfaa601974571b0c83a907005f1a0e9,0,0,0,0,0,
Rhode Island,"1,018.10","1,052,567",RI,"Saturday, March 28, 2020","Saturday, May 9, 2020","Friday, May 8, 2020",41,41,15947,175571,,141,1853,28,,17,,1435,A+,6/12/2020 12:00,6/12/2020 7:00,06/12 08:00,833,0.0791398552,1853,6/12/2020 7:00,,,,15947,44,0,0,191518,191518,0,191518,0,0,1327e7ad278c2bc72a35836bcaa7ab43dbd047f5,0,0,0,0,0,
